,manufacturer,sku,quantity,price
535,Siemens,HB272ABS0S,0,29999
536,Siemens,HB537A2S00,2,25699
537,Siemens,HB634GBW1,2,41189
538,Siemens,HB636GBS1,2,56949
539,Siemens,HB656GHS1,2,50499
540,Siemens,HB772G2W1S,2,49999
541,Siemens,HB774G1B1,0,66799
542,Bosch,HBA172BS0,0,29999
543,Bosch,HBA272BB0,0,29999
544,Bosch,HBF534EB0Q,2,16199
545,Bosch,HBF534EW0Q,0,16699
546,Bosch,HBG6730S1,0,55999
547,Bosch,HBG7341B1,0,49999
548,Bosch,HBG7341W1,2,49999
549,Bosch,HBG7361B1,0,65999
550,Bosch,HBG7741W1,2,66799
551,Bosch,HBG7764B1,2,92999
552,Bosch,HBJ517SG0R,0,19959
553,Bosch,HBJ517YB0R,0,19359
554,Bosch,HBJ558YB0Q,2,16999
555,Bosch,HBJ558YS0Q,2,17339
556,Bosch,HBJ558YW0Q,0,19979
557,Bosch,HBJ559YB6R,2,23999
558,Bosch,HBJ559YW6R,2,23999
559,Bosch,HEZ394301,0,6089
560,Bosch,HEZ629070,2,1639
561,Bosch,HEZ638200,2,5669
562,Bosch,HEZ638300,2,7449
563,Bosch,HIJ517YB0,0,22199
564,Bosch,HIJ517YW0,0,22199
565,Siemens,HM676G0S1,2,74699
566,Siemens,HM736G1B1,2,89999
567,Siemens,HM778GMB1,2,95999
568,Bosch,HMG6764B1,2,85379
569,Bosch,HMG776NB1,0,95999
570,Siemens,HN678G4S1,0,118029
571,Bosch,HNG6764S6,2,105699
572,Siemens,HR538ABS1,2,48399
573,Bosch,HRG5180S0,2,49849
574,Siemens,HS636GDS2,2,83939
575,Siemens,HS658GXS1,2,102429
576,Siemens,HS736G3B1,2,99999
577,Bosch,HSG656RS1,2,95369
578,Bosch,HSG7361B1,2,99999
579,Bosch,HXS59AI50Q,0,31299
580,Siemens,HZ390011,0,8499
581,Siemens,HZ390210,0,4299
582,Siemens,HZ390230,0,5669
583,Siemens,HZ390512,0,14279
584,Siemens,HZ390522,0,7559
585,Siemens,HZ394301,0,5979
586,Siemens,HZ398300,0,2939
587,Siemens,HZ629070,2,1639
588,Bosch,KAI93VI304,0,77009
589,Siemens,KG39NAI306,0,32359
590,Siemens,KG39NVW316,2,27799
591,Siemens,KG39NXW326,0,28999
592,Siemens,KG39NXX316,0,31509
593,Siemens,KG49NAI31U,0,55149
594,Siemens,KG49NLW30U,2,56439
595,Siemens,KG49NXX306,2,47679
596,Bosch,KGN33NL206,2,21619
597,Bosch,KGN33NW206,2,20999
598,Bosch,KGN36NL306,2,22269
599,Bosch,KGN36NW306,2,21949
600,Bosch,KGN36VL326,2,24599
601,Bosch,KGN39LB316,2,45699
602,Bosch,KGN39UL316,2,26769
603,Bosch,KGN39UW316,0,26259
604,Bosch,KGN39VI306,0,28889
605,Bosch,KGN39VL316,2,27599
606,Bosch,KGN39VW316,2,27729
607,Bosch,KGN39XI326,2,30049
608,Bosch,KGN39XL316,0,29309
609,Bosch,KGN39XW326,2,28889
610,Bosch,KGN49LB30U,0,58699
611,Bosch,KGN49XID0U,0,41079
612,Bosch,KGN49XL306,0,38759
613,Bosch,KGN49XW306,2,38239
614,Bosch,KGN86AI32U,0,64719
615,Bosch,KGV39VL306,0,22059
616,Bosch,KGV39VW316,2,21619
617,Siemens,KI86NAD306,2,57039
618,Siemens,KI86SAF30U,0,49429
619,Siemens,KI87VNS306,2,33929
620,Bosch,KIS87AF30U,0,48009
621,Bosch,KIV87NS306,2,33929
622,Siemens,KS10ZHC00,2,5179
623,Siemens,KS36ZAL00,0,2639
624,Bosch,KSV36VL30U,2,47169
625,Bosch,KSZ36AL00,0,2639
626,Bosch,KSZ36AW00,0,2639
627,Siemens,LB55565,2,16059
628,Siemens,LC66BHM50,0,19959
629,Siemens,LC67KHM60,2,52299
630,Siemens,LC97BHM50,2,21309
631,Bosch,PBH6C5B92R,0,9039
632,Bosch,PCH6A5B90R,0,16699
633,Bosch,PCS7A5M90,2,25019
634,Bosch,PGH6B5O93R,2,11899
635,Bosch,PGP6B2O92R,2,11499
636,Bosch,PGP6B5O93R,2,11499
637,Bosch,PGP6B6O93R,2,11499
638,Bosch,PIB375FB1E,2,17499
639,Bosch,PIE611B15E,2,98229
640,Bosch,PIF612BB1E,0,45619
641,Bosch,PIF651FB1E,2,23599
642,Bosch,PIF651FC1E,2,36599
643,Bosch,PIF651HC1E,0,29999
644,Bosch,PIF672FB1E,2,43299
645,Bosch,PKE611BA2E,2,15029
646,Bosch,PKF651FP4E,2,17299
647,Bosch,PNP6B2O92R,2,13099
648,Bosch,PNP6B6O92R,2,13099
649,Bosch,PPP6A2M90R,2,29409
650,Bosch,PPP6A6M90R,0,29409
651,Bosch,PPQ7A6B20,0,33609
652,Bosch,PRB3A6B70,0,25729
653,Bosch,PRP6A6D70R,2,42219
654,Bosch,PRS9A6B70,0,66939
655,Bosch,PUE611BB5E,2,19499
